2	14
3	1
9	8
12	11
15	16
6	7
13	10
4	5
2	3
9	14
12	1
15	8
6	11
13	16
4	7
5	10
2	13
4	6
5	15
10	12
7	9
16	3
11	14
8	1
2	7
16	10
11	5
8	4
1	13
14	6
3	15
9	12
2	6
13	15
4	12
5	9
10	3
7	14
16	1
11	8
2	8
1	11
14	16
3	7
9	10
12	5
15	4
6	13
2	10
7	5
16	4
11	13
8	6
1	15
14	12
3	9
2	12
15	9
6	3
13	14
4	1
5	8
10	11
7	16
2	15
6	12
13	9
4	3
5	14
10	1
7	8
16	11
1	5
14	4
3	13
9	6
12	15
2	16
11	7
8	10
2	1
14	8
3	11
9	16
12	7
15	10
6	5
13	4
2	5
10	4
7	13
16	6
11	15
8	12
1	9
14	3
2	11
8	16
1	7
14	10
3	5
9	4
12	13
15	6
2	4
5	13
10	6
7	15
16	12
11	9
8	3
1	14
2	9
12	3
15	14
6	1
13	8
4	11
5	16
10	7
